R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,mixed
H01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0
H04,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H08,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4
H09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H23,0,0,0,48,0,1,5,2,0,1,0,0,0,0,0,0,0,0
H33,0,1,1,37,1,0,58,54,9,14,48,4,55,1,1,0,1,0
H34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
H39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
H45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29
H47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
H59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
H71,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
H72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H74,6,0,0,2,0,2,16,23,50,41,12,0,1,1,0,0,0,1
H102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
H106,0,0,0,2,0,2,52,38,2,1,0,0,0,0,0,0,0,0
H108,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
H110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H115,1,0,0,3,0,0,2,0,1,10,0,0,0,0,0,0,0,0
H116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22
H117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
H119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
H120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
H121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
H126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
H127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
H132,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
