H0,PG,WA,SI,MEX,NIC,CRP,ELS,ECU,WCIO,ALD,PM,NTNQ,EM,mixed
H02,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H03,0,0,18,0,0,0,0,0,0,0,0,0,0,0
H04,0,0,0,0,0,0,0,0,0,0,0,2,0,0
H05,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H07,0,0,0,0,0,0,0,0,0,0,0,6,0,0
H08,0,37,0,0,0,0,0,0,0,0,0,62,0,4
H09,0,0,0,0,0,0,0,0,0,0,0,51,0,0
H10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H13,2,0,0,0,0,0,0,0,0,0,0,0,0,0
H14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
H15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H16,0,0,0,0,0,0,0,0,14,0,0,0,0,0
H17,0,0,0,0,0,0,0,0,54,0,0,0,1,0
H18,0,0,0,0,0,0,0,0,31,2,0,0,0,0
H19,0,0,0,0,0,0,0,0,5,0,0,0,0,0
H20,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H21,0,0,0,0,0,0,0,0,1,1,0,0,0,0
H22,0,0,0,0,0,0,0,0,2,0,0,0,0,0
H23,0,0,2,4,2,0,5,0,0,0,0,0,0,0
H24,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H25,0,0,0,0,0,0,0,0,2,0,0,0,0,0
H26,0,0,0,0,0,0,0,0,0,0,0,2,0,0
H27,3,0,0,0,0,0,0,0,0,0,0,0,0,0
H28,0,3,0,0,0,0,0,0,0,0,0,0,0,0
H29,0,0,0,0,0,0,0,0,0,0,0,2,0,0
H30,0,0,0,0,0,0,0,0,3,0,0,0,0,0
H31,0,0,0,0,0,0,0,0,0,0,0,2,0,0
H32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H33,61,0,17,17,97,1,23,30,4,1,0,3,0,0
H34,0,0,3,0,0,0,0,0,0,0,0,0,0,0
H36,10,0,0,0,0,0,0,0,0,0,0,0,0,0
H37,0,3,0,0,0,0,0,0,0,0,0,0,0,0
H38,0,4,0,0,0,0,0,0,0,0,0,0,0,0
H40,7,0,0,0,0,0,0,0,0,0,0,0,0,0
H41,4,0,0,0,0,0,0,0,0,0,0,0,0,0
H42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H43,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H44,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H45,0,0,0,0,0,0,0,0,0,0,0,0,0,29
H47,0,0,0,0,0,0,0,0,0,0,0,0,61,0
H48,0,0,0,0,0,0,0,0,0,0,0,0,45,0
H49,0,0,0,0,0,0,0,0,0,0,1,0,43,0
H50,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H51,0,0,0,0,0,0,0,0,0,0,0,0,4,0
H53,0,0,0,0,0,0,0,0,0,0,82,0,1,0
H54,0,0,0,0,0,0,0,0,0,0,2,0,0,0
H57,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H74,0,0,0,0,5,10,3,1,0,0,0,0,0,1
H75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H76,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H80,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H81,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H102,0,0,0,0,0,0,0,0,0,0,0,0,0,3
H106,0,0,0,0,33,0,59,0,0,0,0,0,0,0
H107,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H108,0,0,0,0,6,0,0,0,0,0,0,0,0,0
H110,0,0,0,0,0,0,0,0,0,0,2,0,0,1
H114,0,0,0,0,1,0,1,0,0,0,0,0,0,0
H115,0,0,0,0,0,2,0,0,0,0,0,0,0,0
H116,0,0,0,0,0,0,0,0,0,0,0,0,0,22
H118,0,0,0,0,0,0,0,0,0,0,0,0,0,2
H120,0,0,0,0,0,0,0,0,0,0,0,0,0,3
H124,0,0,0,0,0,0,0,0,0,0,2,0,0,0
H125,0,0,0,0,0,0,0,0,0,0,0,0,1,15
H136,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H140,0,0,0,0,0,0,0,0,0,0,0,0,0,21
